index,Traffic Sign Labels
g00000,gioi han toc do 20k/h
g00001,gioi han toc do 30k/h
g00002,gioi han toc do 50k/h
g00003,gioi han toc do 60k/h
g00004,gioi han toc do 70k/h
g00005,gioi han toc do 80k/h
g00006,het gioi han toc do 80k/h
g00007,gioi han toc do 100k/h
g00008,gioi han toc do 120k/h
g00009,Cam vuot
g00010,Cam doi voi xe tai tren 3.5 tan
g00011,Quyen uu tien tai ngh tu ke tiep
g00012,Duong uu tien
g00013,Nhuong duong
g00014,Dung lai
g00015,Cam cac loai xe
g00016,Cam xe tai tren 3.5 tan
g00017,Cam vao
g00018,Chu y chung
g00019,khuc cua nguy hiem ben trai
g00020,khuc cua nguy hiem ben phai
g00021,Khuc qua hep
g00022,Duong go ghe
g00023,Duong tron
g00024,Duong hep ben phai
g00025,Cong truong
g00026,Den tin hieu
g00027,Nguo di bo
g00028,Tre em qua duong
g00029,Duong xe dap
g00030,Chu y bang tuyet
g00031,Dong vat hoang da
g00032,Het gioi han toc do va vuot
g00033,Re phai phia truoc
g00034,Re trai phia truoc
g00035,Di thang
g00036,Di thang hoac re phai
g00037,Di thang hoac re trai
g00038,Giu phai
g00039,Giu Trai
g00040,Vong xuyen
g00041,Het cam vuot
g00042,Het cam vuot doi voi xe tai trn 3.5 tan
